sr,category,district,taluka,village,regno,name,name_confidence,rooms,commercial_value_raw,commercial_value,regulatory_urgency_raw,regulatory_urgency,service_tier,service_tier_score_raw,service_tier_score,value_score,decision_fit,phase1_score,tier
955,B,North Goa,Bardez,Calangute,HOTN001350,Adamo The Bellus,high,117,6.882643049361842,0.7674098289150296,3,1.0,1,3,1.0,0.907,1.0,0.907,Priority
6940,A,North Goa,Bardez,Calangute,HOTN012519,116,low,116,6.870364719583405,0.7660408038345402,3,1.0,1,3,1.0,0.9064,1.0,0.9064,Priority
2925,A,North Goa,Bardez,Arpora,HOTN004119,115,low,115,6.857980995127572,0.7646600273221126,3,1.0,1,3,1.0,0.9059,1.0,0.9059,Priority
1295,A,North Goa,Bardez,Candolim,HOTN003248,Holiday Inn Goa Candolim,high,110,6.794415866350106,0.7575725604507049,3,1.0,1,3,1.0,0.903,1.0,0.903,Priority
5381,A,North Goa,Bardez,Anjuna,HOTN001004,W Goa,high,109,6.78135971352466,0.7561168086509666,3,1.0,1,3,1.0,0.9024,1.0,0.9024,Priority
4883,B,North Goa,Bardez,Assagao,HOTN000315,Royale Assagao,high,106,6.7414669864011465,0.7516687978101825,3,1.0,1,3,1.0,0.9007,1.0,0.9007,Priority
6609,A,North Goa,Bardez,Candolim,HOTN000225,Whispering Palms Beach,high,106,6.7414669864011465,0.7516687978101825,3,1.0,1,3,1.0,0.9007,1.0,0.9007,Priority
8274,A,North Goa,Bardez,Candolim,HOTN002429,104,low,104,6.714245517666122,0.7486336233118192,3,1.0,1,3,1.0,0.8995,1.0,0.8995,Priority
5263,A,North Goa,Bardez,Arpora,HOTN000224,"Ximer, Arpora, Bardez, North Goa",high,104,6.714245517666122,0.7486336233118192,3,1.0,1,3,1.0,0.8995,1.0,0.8995,Priority
1406,B,North Goa,Bardez,Calangute,HOTN000753,Nazri Resort,high,104,6.714245517666122,0.7486336233118192,3,1.0,1,3,1.0,0.8995,1.0,0.8995,Priority
6471,A,North Goa,Bardez,Candolim,HOTN006844,Fortune Select Candolim,high,103,6.700439718141092,0.7470942864356287,3,1.0,1,3,1.0,0.8988,1.0,0.8988,Priority
7275,A,North Goa,Bardez,Candolim,HOTN000636,Fortune Acron Regina,high,102,6.6865005271832185,0.745540076509082,3,1.0,1,3,1.0,0.8982,1.0,0.8982,Priority
1398,B,North Goa,Bardez,Candolim,HOTN000166,102,low,102,6.6865005271832185,0.745540076509082,3,1.0,1,3,1.0,0.8982,1.0,0.8982,Priority
1508,B,North Goa,Bardez,Calangute,HOTN000880,100,low,100,6.6582114827517955,0.7423858680761312,3,1.0,1,3,1.0,0.897,1.0,0.897,Priority
7378,B,North Goa,Bardez,Candolim,HOTN005144,Hyatt Place,high,97,6.614709844115209,0.737535466155793,3,1.0,1,3,1.0,0.895,1.0,0.895,Priority
933,B,North Goa,Bardez,Calangute,HOTN000637,Paradise Village Beach Resort,high,96,6.599912842187128,0.7358856109131712,3,1.0,1,3,1.0,0.8944,1.0,0.8944,Priority
1373,A,North Goa,Bardez,Arpora,HOTN001177,96,low,96,6.599912842187128,0.7358856109131712,3,1.0,1,3,1.0,0.8944,1.0,0.8944,Priority
2798,A,North Goa,Bardez,Arpora,HOTN003513,95,low,95,6.584962500721156,0.7342186584205984,3,1.0,1,3,1.0,0.8937,1.0,0.8937,Priority
1250,A,North Goa,Bardez,Penha-De-France,HOTN000540,Neo Majestic,high,94,6.569855608330948,0.7325342506107698,3,1.0,1,3,1.0,0.893,1.0,0.893,Priority
6961,B,North Goa,Bardez,Calangute,HOTN012403,Symbol,high,91,6.523561956057013,0.7273725411458738,3,1.0,1,3,1.0,0.8909,1.0,0.8909,Priority
1741,B,North Goa,Bardez,Calangute,HOTN001294,Ticlo Resort,high,91,6.523561956057013,0.7273725411458738,3,1.0,1,3,1.0,0.8909,1.0,0.8909,Priority
1168,C,North Goa,Bardez,Arpora,HOTN001358,Riverside Regency Resort,high,90,6.507794640198696,0.725614496586756,3,1.0,1,3,1.0,0.8902,1.0,0.8902,Priority
6545,B,North Goa,Bardez,Arpora,HOTN007577,Rio Convention,high,90,6.507794640198696,0.725614496586756,3,1.0,1,3,1.0,0.8902,1.0,0.8902,Priority
4181,A,North Goa,Bardez,Candolim,HOTN000613,Highland Beach Resort,high,90,6.507794640198696,0.725614496586756,3,1.0,1,3,1.0,0.8902,1.0,0.8902,Priority
7583,A,North Goa,Bardez,Candolim,HOTN005713,Antarim Resort Llp,high,87,6.459431618637298,0.7202220539108733,3,1.0,1,3,1.0,0.8881,1.0,0.8881,Priority
794,A,North Goa,Bardez,Nerul,HOTN000453,Hotel Deltin Suites,high,86,6.442943495848729,0.7183836398891729,3,1.0,1,3,1.0,0.8874,1.0,0.8874,Priority
1572,B,North Goa,Bardez,Calangute,HOTN002979,Resort De Crossroad Pvt Ltd,high,86,6.442943495848729,0.7183836398891729,3,1.0,1,3,1.0,0.8874,1.0,0.8874,Priority
2328,B,North Goa,Bardez,Calangute,HOTN000380,Sun City Resorts,high,86,6.442943495848729,0.7183836398891729,3,1.0,1,3,1.0,0.8874,1.0,0.8874,Priority
816,B,North Goa,Bardez,Calangute,HOTN000832,Ocean Palms Goa,high,85,6.426264754702098,0.7165239720554558,3,1.0,1,3,1.0,0.8866,1.0,0.8866,Priority
5205,C,North Goa,Bardez,Calangute,HOTN002669,Villa Goesa Beach Resort,high,85,6.426264754702098,0.7165239720554558,3,1.0,1,3,1.0,0.8866,1.0,0.8866,Priority
1621,B,North Goa,Bardez,Candolim,HOTN001502,Silver Sands Serenity,high,84,6.409390936137703,0.7146425532277213,3,1.0,1,3,1.0,0.8859,1.0,0.8859,Priority
751,A,North Goa,Bardez,Arpora,HOTN000490,Resort Rio,high,82,6.375039431346925,0.710812384755319,3,1.0,1,3,1.0,0.8843,1.0,0.8843,Priority
5196,B,North Goa,Bardez,Candolim,HOTN000347,Marquis Hotels Ltd,high,81,6.357552004618085,0.7088625490515209,3,1.0,1,3,1.0,0.8835,1.0,0.8835,Priority
1560,C,North Goa,Bardez,Calangute,HOTN002742,Palmarinha Resort,high,80,6.339850002884625,0.7068887883865701,3,1.0,1,3,1.0,0.8828,1.0,0.8828,Priority
527,C,North Goa,Bardez,Calangute,HOTN000183,So My Resorts Pvt Ltd,high,79,6.321928094887362,0.7048905083288405,3,1.0,1,3,1.0,0.882,1.0,0.882,Priority
4183,C,North Goa,Bardez,Calangute,HOTN001601,78,low,78,6.303780748177103,0.7028670920141629,3,1.0,1,3,1.0,0.8811,1.0,0.8811,Priority
6677,B,North Goa,Bardez,Candolim,HOTN001175,Radisson Goa Candolim,high,78,6.303780748177103,0.7028670920141629,3,1.0,1,3,1.0,0.8811,1.0,0.8811,Priority
6581,B,North Goa,Bardez,Arpora,HOTN003299,Hotel Shanti Solitaire,high,77,6.285402218862249,0.7008178990026889,3,1.0,1,3,1.0,0.8803,1.0,0.8803,Priority
6756,B,North Goa,Bardez,Candolim,HOTN001278,Magnum Resort,high,76,6.266786540694902,0.6987422640620006,3,1.0,1,3,1.0,0.8795,1.0,0.8795,Priority
7479,A,North Goa,Bardez,Candolim,HOTN000266,The O Hotel,high,75,6.247927513443586,0.6966394958706764,3,1.0,1,3,1.0,0.8787,1.0,0.8787,Priority
7197,C,North Goa,Bardez,Candolim,HOTN008137,Botanica By Raichandani,high,75,6.247927513443586,0.6966394958706764,3,1.0,1,3,1.0,0.8787,1.0,0.8787,Priority
1602,A,North Goa,Bardez,Calangute,HOTN000553,Hotel Goan Heritage,high,75,6.247927513443586,0.6966394958706764,3,1.0,1,3,1.0,0.8787,1.0,0.8787,Priority
1678,B,North Goa,Bardez,Pilerne,HOTN000264,Otium By The Oterra,high,74,6.22881869049588,0.6945088756359941,3,1.0,1,3,1.0,0.8778,1.0,0.8778,Priority
8390,B,North Goa,Bardez,Candolim,HOTN003891,"Candolim, Candolim, Bardez, North Goa- 403515",high,73,6.209453365628951,0.6923496556188536,3,1.0,1,3,1.0,0.8769,1.0,0.8769,Priority
5175,B,North Goa,Bardez,Candolim,HOTN004837,72,low,72,6.189824558880018,0.6901610575583452,3,1.0,1,3,1.0,0.8761,1.0,0.8761,Priority
2599,B,North Goa,Bardez,Calangute,HOTN002443,Sairaj Beach Resort Llp,high,72,6.189824558880018,0.6901610575583452,3,1.0,1,3,1.0,0.8761,1.0,0.8761,Priority
1553,C,North Goa,Bardez,Candolim,HOTN000179,Silver Sands Holiday Village,high,71,6.169925001442312,0.6879422709876585,3,1.0,1,3,1.0,0.8752,1.0,0.8752,Priority
4221,A,North Goa,Bardez,Candolim,HOTN005621,The Astor Goa,high,70,6.149747119504682,0.6856924514322102,3,1.0,1,3,1.0,0.8743,1.0,0.8743,Priority
3761,B,North Goa,Bardez,Anjuna,HOTN006708,The Palace,high,70,6.149747119504682,0.6856924514322102,3,1.0,1,3,1.0,0.8743,1.0,0.8743,Priority
7358,C,North Goa,Bardez,Calangute,HOTN000406,Santiago Resort,high,70,6.149747119504682,0.6856924514322102,3,1.0,1,3,1.0,0.8743,1.0,0.8743,Priority
7618,B,North Goa,Bardez,Calangute,HOTN000658,Citrus Resorts Pvt Ltd,high,70,6.149747119504682,0.6856924514322102,3,1.0,1,3,1.0,0.8743,1.0,0.8743,Priority
262,B,North Goa,Bardez,Calangute,HOTN002599,La Dinero,high,69,6.129283016944967,0.6834107184799679,3,1.0,1,3,1.0,0.8734,1.0,0.8734,Priority
4250,B,North Goa,Bardez,Calangute,HOTN002600,La Dinero,high,69,6.129283016944967,0.6834107184799679,3,1.0,1,3,1.0,0.8734,1.0,0.8734,Priority
5820,C,North Goa,Bardez,Assagao,HOTN007725,Raya Resorts & Spa,high,68,6.10852445677817,0.681096153712934,3,1.0,1,3,1.0,0.8724,1.0,0.8724,Priority
470,C,North Goa,Bardez,Calangute,HOTN000312,Chalston Hotel,high,67,6.08746284125034,0.6787477984876278,3,1.0,1,3,1.0,0.8715,1.0,0.8715,Priority
5397,C,North Goa,Bardez,Calangute,HOTN007254,Sky Seven,high,66,6.066089190457772,0.6763646515511417,3,1.0,1,3,1.0,0.8705,1.0,0.8705,Priority
4753,B,North Goa,Bardez,Pilerne,HOTN002480,Hotel Gautam,high,66,6.066089190457772,0.6763646515511417,3,1.0,1,3,1.0,0.8705,1.0,0.8705,Priority
2654,B,North Goa,Bardez,Nagoa,HOTN001085,Ramada Goa Arpora,high,65,6.044394119358453,0.6739456664779333,3,1.0,1,3,1.0,0.8696,1.0,0.8696,Priority
7090,B,North Goa,Bardez,Calangute,HOTN001739,Rivasa Resort,high,65,6.044394119358453,0.6739456664779333,3,1.0,1,3,1.0,0.8696,1.0,0.8696,Priority
