sr,category,district,taluka,village,regno,name,name_confidence,rooms,commercial_value_raw,commercial_value,regulatory_urgency_raw,regulatory_urgency,service_tier,service_tier_score_raw,service_tier_score,value_score,decision_fit,phase1_score,tier
7167,B,North Goa,Bardez,Candolim,HOTN007574,Ginger Candolim,high,282,8.144658242831882,0.9081236298143527,3,1.0,1,3,1.0,0.9632,0.15,0.1445,Priority
1708,A,North Goa,Bardez,Assonora,HOTN003002,Club Mahindra Assonora,high,244,7.936637939002572,0.8849295131606777,3,1.0,1,3,1.0,0.954,0.15,0.1431,Priority
773,B,North Goa,Bardez,Arpora,HOTN000943,Resorte Marinha Dourada,high,203,7.672425341971495,0.8554699955842702,3,1.0,1,3,1.0,0.9422,0.15,0.1413,Priority
7117,A,North Goa,Bardez,Calangute,HOTN001165,Ibis Styles,high,197,7.6293566200796095,0.8506678635745758,3,1.0,1,3,1.0,0.9403,0.5,0.4702,Priority
1258,A,North Goa,Bardez,Anjuna,HOTN003076,"The Westin Goa, Anjuna",high,171,7.426264754702098,0.828023264320247,3,1.0,1,3,1.0,0.9312,0.5,0.4656,Priority
1589,B,North Goa,Bardez,Calangute,HOTN003361,Fairfield By Marriott,high,169,7.409390936137703,0.8261418454925125,3,1.0,1,3,1.0,0.9305,0.5,0.4652,Priority
6539,A,North Goa,Bardez,Candolim,HOTN000085,Hyatt Centric,high,168,7.400879436282184,0.8251928192825103,3,1.0,1,3,1.0,0.9301,0.5,0.465,Priority
2408,A,North Goa,Bardez,Anjuna,HOTN004557,Jw Marriott Goa Vagator,high,151,7.247927513443586,0.8081387881354677,3,1.0,1,3,1.0,0.9233,0.5,0.4616,Priority
598,A,North Goa,Bardez,Candolim,HOTN000455,Novotel Goa Candolim,high,149,7.22881869049588,0.8060081679007852,3,1.0,1,3,1.0,0.9224,0.5,0.4612,Priority
4483,A,North Goa,Bardez,Candolim,HOTN001522,146,low,146,7.199672344836364,0.8027583709876442,3,1.0,1,3,1.0,0.9211,0.5,0.4606,Priority
771,B,North Goa,Bardez,Calangute,HOT0000073,Primo Bom Terra Verde,high,143,7.169925001442313,0.7994415632524499,3,1.0,1,3,1.0,0.9198,0.5,0.4599,Priority
1854,A,North Goa,Bardez,Calangute,HOTN000635,Neelams The Grand,high,143,7.169925001442313,0.7994415632524499,3,1.0,1,3,1.0,0.9198,0.5,0.4599,Priority
1237,A,North Goa,Bardez,Candolim,HOTN000492,"Sinquerim, Candolim, Bardez, North Goa- 403515",high,143,7.169925001442313,0.7994415632524499,3,1.0,1,3,1.0,0.9198,0.5,0.4599,Priority
7638,B,North Goa,Bardez,Anjuna,HOTN005477,Ibis Styles Goa Vagator,high,142,7.159871336778389,0.7983205867577547,3,1.0,1,3,1.0,0.9193,0.5,0.4596,Priority
1238,A,North Goa,Bardez,Candolim,HOTN000493,"Dando, Candolim, Bardez, North Goa- 403515",high,142,7.159871336778389,0.7983205867577547,3,1.0,1,3,1.0,0.9193,0.5,0.4596,Priority
2292,B,North Goa,Bardez,Calangute,HOTN000579,138,low,138,7.118941072723508,0.7937568912834244,3,1.0,1,3,1.0,0.9175,0.5,0.4588,Priority
6646,A,North Goa,Tiswadi,Taleigao,HOTN000174,Taj Cidade De Goa,high,500,8.968666793195208,1.0,3,1.0,2,2,0.6666666666666666,0.9167,0.15,0.1375,Priority
8158,A,North Goa,Bardez,Calangute,HOTN000792,Ronil Beach Resort,high,135,7.08746284125034,0.790247090752419,3,1.0,1,3,1.0,0.9161,0.5,0.458,Priority
4239,A,North Goa,Bardez,Calangute,HOTN000580,Hard Rock Hotel,high,135,7.08746284125034,0.790247090752419,3,1.0,1,3,1.0,0.9161,0.5,0.458,Priority
7400,A,North Goa,Bardez,Arpora,HOTN000194,Sun Village Resorts Pvt Ltd,high,135,7.08746284125034,0.790247090752419,3,1.0,1,3,1.0,0.9161,0.5,0.458,Priority
8395,A,North Goa,Bardez,Arpora,HOTN008339,Renaissance Goa,high,133,7.066089190457772,0.7878639438159328,3,1.0,1,3,1.0,0.9151,0.5,0.4576,Priority
4706,B,North Goa,Bardez,Candolim,HOTN001107,Prazeres Resorts,high,130,7.03342300153745,0.784221686870329,3,1.0,1,3,1.0,0.9137,0.5,0.4568,Priority
7580,A,North Goa,Bardez,Anjuna,HOTN000676,130,low,130,7.03342300153745,0.784221686870329,3,1.0,1,3,1.0,0.9137,0.5,0.4568,Priority
1415,A,North Goa,Bardez,Candolim,HOTN002458,Phoenix Park Inn Resort,high,128,7.011227255423254,0.7817468768873072,3,1.0,1,3,1.0,0.9127,0.5,0.4564,Priority
3514,B,North Goa,Bardez,Calangute,HOTN002597,Bloom Suites,high,125,6.977279923499917,0.7779617734035771,3,1.0,1,3,1.0,0.9112,0.5,0.4556,Priority
61,B,North Goa,Bardez,Canca,HOTN001767,Bloom Suites,high,124,6.965784284662088,0.7766800178090275,3,1.0,1,3,1.0,0.9107,0.5,0.4554,Priority
7917,A,North Goa,Bardez,Candolim,HOTN000539,"La Estoria ,Ihcl Seleqtions",high,122,6.94251450533924,0.7740854538833721,3,1.0,1,3,1.0,0.9096,0.5,0.4548,Priority
599,A,North Goa,Bardez,Candolim,HOTN000454,Novotel Goa Resorts & Spa,high,121,6.930737337562887,0.772772308011425,3,1.0,1,3,1.0,0.9091,0.5,0.4546,Priority
